join_a_guild;Join a Guild;;;;;;;;;;;;;x
join_a_guild_desc;Join one of the local Guilds stationed in your geographic region. The Fighters Guild and Mages Guild are always accepting new applicants and offer a variety of services such as training in their respective fields of expertise. Each Education (and its matched Attribute) is associated with a specific Guild, and characters will generally gain the most by joining with the Guild most suited to their respective Education.;;;;;;;;;;;;;x
leave_guild;Return from Guild Work;;;;;;;;;;;;;x
leave_guild_desc;You may leave active service with a Guild at any time, freeing you from various duties and obligations. You are not expelled by a Guild by exiting its ranks of active personnel, but will lose access to its various services until you return to active duty.;;;;;;;;;;;;;x
ekguilds20;[From.GetFirstName] approached me and explained that [From.GetSheHe] wants to join the local Fighter's Guild. Naturally there are great risks in warring and adventuring as a career, but [From.GetFirstName] believes that fortune and glory await.;;;;;;;;;;;;;x
ekguilds20decline;Absolutely not!;;;;;;;;;;;;;x
ekguilds20accept;Of course you may enlist in their ranks!;;;;;;;;;;;;;x
ekguilds21;[From.GetFirstName] approached me and explained that [From.GetSheHe] wants to join the Mages Guild. Naturally there are great risks involved with arcane experiments, but [From.GetFirstName] believes that wisdom and power will be within [From.GetHerHis] grasp.;;;;;;;;;;;;;x
ekguilds21decline;Absolutely not!;;;;;;;;;;;;;x
ekguilds21accept;Of course you may study in their halls!;;;;;;;;;;;;;x
ekguilds22;[From.GetFirstName] approached me and explained that [From.GetSheHe] wants to join the Mercantile Guild. Naturally there are great risks involved with costly investments and corporate warfare, but [From.GetFirstName] believes that wealth and respect will be within [From.GetHerHis] grasp.;;;;;;;;;;;;;x
ekguilds22decline;Absolutely not!;;;;;;;;;;;;;x
ekguilds22accept;Of course you may study in their halls!;;;;;;;;;;;;;x
ekguilds23;[From.GetFirstName] approached me and explained that [From.GetSheHe] wants to join the Scenarist Guild. Naturally there are great risks involved with entertaining picky and temperamental patrons, but [From.GetFirstName] believes that riches and recognition will be within [From.GetHerHis] grasp.;;;;;;;;;;;;;x
ekguilds23decline;Absolutely not!;;;;;;;;;;;;;x
ekguilds23accept;Of course you may study in their halls!;;;;;;;;;;;;;x
